Source,Target,Type,Weight
1,16,Directed,1
1,69,Directed,1
1,91,Directed,1
1,101,Directed,1
4,84,Directed,1
5,37,Directed,1
8,83,Directed,1
9,191,Directed,1
10,33,Directed,1
14,74,Directed,1
14,101,Directed,1
15,91,Directed,1
15,105,Directed,1
16,100,Directed,1
17,207,Directed,1
18,19,Directed,1
18,20,Directed,1
18,21,Directed,1
18,22,Directed,1
18,23,Directed,1
18,25,Directed,1
19,18,Directed,1
19,98,Directed,1
19,101,Directed,1
19,178,Directed,1
19,205,Directed,1
19,214,Directed,1
20,18,Directed,1
20,22,Directed,1
20,25,Directed,1
20,47,Directed,1
20,82,Directed,1
20,104,Directed,1
20,213,Directed,1
20,222,Directed,1
21,18,Directed,1
22,18,Directed,1
22,25,Directed,1
22,184,Directed,1
22,203,Directed,1
23,18,Directed,1
23,46,Directed,1
24,100,Directed,1
25,18,Directed,1
25,20,Directed,1
25,22,Directed,1
36,101,Directed,1
37,5,Directed,1
37,86,Directed,1
37,99,Directed,1
45,5,Directed,1
45,71,Directed,1
45,80,Directed,1
45,95,Directed,1
45,130,Directed,1
45,193,Directed,1
45,226,Directed,1
46,23,Directed,1
46,77,Directed,1
46,95,Directed,1
46,101,Directed,1
46,175,Directed,1
47,20,Directed,1
47,86,Directed,1
51,79,Directed,1
52,64,Directed,1
52,66,Directed,1
52,87,Directed,1
52,99,Directed,1
52,100,Directed,1
52,101,Directed,1
52,102,Directed,1
52,105,Directed,1
52,175,Directed,1
52,179,Directed,1
52,205,Directed,1
59,87,Directed,1
61,198,Directed,1
61,220,Directed,1
64,52,Directed,1
64,85,Directed,1
64,90,Directed,1
64,92,Directed,1
64,93,Directed,1
64,96,Directed,1
64,97,Directed,1
64,98,Directed,1
64,101,Directed,1
64,102,Directed,1
64,104,Directed,1
64,151,Directed,1
64,175,Directed,1
66,52,Directed,1
68,57,Directed,1
69,1,Directed,1
70,37,Directed,1
71,45,Directed,1
72,57,Directed,1
73,62,Directed,1
74,14,Directed,1
75,57,Directed,1
76,57,Directed,1
77,46,Directed,1
78,62,Directed,1
79,51,Directed,1
79,160,Directed,1
79,220,Directed,1
80,45,Directed,1
80,91,Directed,1
80,175,Directed,1
80,213,Directed,1
80,214,Directed,1
80,222,Directed,1
81,34,Directed,1
82,20,Directed,1
83,8,Directed,1
84,4,Directed,1
85,64,Directed,1
86,37,Directed,1
86,47,Directed,1
86,196,Directed,1
86,215,Directed,1
87,37,Directed,1
87,52,Directed,1
88,64,Directed,1
88,91,Directed,1
89,4,Directed,1
90,64,Directed,1
91,15,Directed,1
91,19,Directed,1
91,80,Directed,1
91,96,Directed,1
92,64,Directed,1
93,64,Directed,1
93,98,Directed,1
94,4,Directed,1
95,45,Directed,1
95,46,Directed,1
95,62,Directed,1
95,104,Directed,1
96,62,Directed,1
96,64,Directed,1
96,91,Directed,1
96,101,Directed,1
96,205,Directed,1
96,220,Directed,1
97,11,Directed,1
97,64,Directed,1
97,100,Directed,1
97,101,Directed,1
97,225,Directed,1
98,19,Directed,1
98,64,Directed,1
98,93,Directed,1
99,37,Directed,1
99,52,Directed,1
99,62,Directed,1
100,12,Directed,1
100,16,Directed,1
100,24,Directed,1
100,52,Directed,1
100,97,Directed,1
100,102,Directed,1
100,175,Directed,1
101,14,Directed,1
101,19,Directed,1
101,46,Directed,1
101,52,Directed,1
101,97,Directed,1
102,16,Directed,1
102,52,Directed,1
102,64,Directed,1
102,100,Directed,1
103,37,Directed,1
103,62,Directed,1
103,64,Directed,1
103,158,Directed,1
103,196,Directed,1
103,214,Directed,1
104,20,Directed,1
104,45,Directed,1
104,46,Directed,1
104,64,Directed,1
104,193,Directed,1
104,213,Directed,1
104,225,Directed,1
105,15,Directed,1
105,52,Directed,1
105,62,Directed,1
105,64,Directed,1
105,160,Directed,1
105,207,Directed,1
118,195,Directed,1
125,62,Directed,1
130,45,Directed,1
130,86,Directed,1
133,175,Directed,1
134,93,Directed,1
149,133,Directed,1
149,235,Directed,1
151,64,Directed,1
160,105,Directed,1
175,46,Directed,1
175,52,Directed,1
175,64,Directed,1
175,80,Directed,1
175,100,Directed,1
175,133,Directed,1
175,178,Directed,1
175,214,Directed,1
175,225,Directed,1
177,196,Directed,1
177,222,Directed,1
178,19,Directed,1
178,175,Directed,1
178,193,Directed,1
178,205,Directed,1
179,52,Directed,1
182,214,Directed,1
183,191,Directed,1
184,22,Directed,1
184,118,Directed,1
191,183,Directed,1
191,220,Directed,1
193,196,Directed,1
196,86,Directed,1
196,207,Directed,1
198,61,Directed,1
198,213,Directed,1
205,52,Directed,1
205,178,Directed,1
207,196,Directed,1
213,20,Directed,1
213,80,Directed,1
213,104,Directed,1
213,198,Directed,1
214,175,Directed,1
214,182,Directed,1
214,213,Directed,1
214,222,Directed,1
220,79,Directed,1
222,177,Directed,1
224,12,Directed,1
225,97,Directed,1
225,175,Directed,1
226,45,Directed,1
226,204,Directed,1
